"pinName","manufacturer","date","Type","estimatedValue","cabinet","displayType","url","rating","ratingsCount.href","ratingsCount.text","makeAndYear","index","gameDesign","artwork","sound","otherRating","staffRating","lowValue","highValue","avgValue","staffValue","age","nameLink"
"Pinbot","Williams Electronic Games, Inc.",1986,"Type Solid state","$1390 - $1610","Normal","Alphanumeric","https://pinside.com/pinball/archive/pinbot",7.722,"https://pinside.com/pinball/archive/pinbot/ratings","425 ratings","Williams, 1986",75,7.721,7.753,7.218,7.909,7.521,1390,1610,1500,199.441563621859,30,"<a href=""https://pinside.com/pinball/archive/pinbot""target = _blank>Pinbot</a>"
"Fathom","Bally Manufacturing Co.",1980,"Type Solid state","$3240 - $3760","Normal","Digital","https://pinside.com/pinball/archive/fathom",7.713,"https://pinside.com/pinball/archive/fathom/ratings","145 ratings","Bally, 1980",76,7.708,8.611,6.299,7.848,8.098,3240,3760,3500,432.205482835268,36,"<a href=""https://pinside.com/pinball/archive/fathom""target = _blank>Fathom</a>"
"Corvette","Bally Manufacturing Co.",1994,"Type Solid state","$2590 - $3010","Normal","Dot Matrix","https://pinside.com/pinball/archive/corvette",7.712,"https://pinside.com/pinball/archive/corvette/ratings","230 ratings","Bally, 1994",77,7.791,7.603,7.227,7.851,7.519,2590,3010,2800,372.389945471472,22,"<a href=""https://pinside.com/pinball/archive/corvette""target = _blank>Corvette</a>"
"Banzai Run","Williams Electronic Games, Inc.",1988,"Type Solid state","$4440 - $5160","Normal","Alphanumeric","https://pinside.com/pinball/archive/banzai-run",7.704,"https://pinside.com/pinball/archive/banzai-run/ratings","215 ratings","Williams, 1988",78,7.949,7.661,6.946,7.872,7.663,4440,5160,4800,626.386532689547,28,"<a href=""https://pinside.com/pinball/archive/banzai-run""target = _blank>Banzai Run</a>"
"Eight Ball Deluxe","Bally Manufacturing Co.",1980,"Type Solid state","$3240 - $3760","Normal","Digital","https://pinside.com/pinball/archive/eight-ball-deluxe",7.699,"https://pinside.com/pinball/archive/eight-ball-deluxe/ratings","204 ratings","Bally, 1980",79,7.914,7.588,6.459,7.975,7.046,3240,3760,3500,496.735736588135,36,"<a href=""https://pinside.com/pinball/archive/eight-ball-deluxe""target = _blank>Eight Ball Deluxe</a>"
"KISS (Pro)","Stern Pinball, Inc.",2015,"Type Solid state","$4620 - $5380","Normal","Dot Matrix","https://pinside.com/pinball/archive/kiss-stern",7.688,"https://pinside.com/pinball/archive/kiss-stern/ratings","105 ratings","Stern, 2015",80,7.373,7.97,7.53,7.519,7.389,4620,5380,5000,676.681553660847,1,"<a href=""https://pinside.com/pinball/archive/kiss-stern""target = _blank>KISS (Pro)</a>"
"Demolition Man","Williams Electronic Games, Inc.",1994,"Type Solid state","$2030 - $2370","Wide body","Dot Matrix","https://pinside.com/pinball/archive/demolition-man",7.682,"https://pinside.com/pinball/archive/demolition-man/ratings","435 ratings","Williams, 1994",81,8.049,6.785,7.525,7.806,8.104,2030,2370,2200,271.47087857848,22,"<a href=""https://pinside.com/pinball/archive/demolition-man""target = _blank>Demolition Man</a>"
"High Speed","Williams Electronic Games, Inc.",1986,"Type Solid state","$1110 - $1290","Normal","Alphanumeric","https://pinside.com/pinball/archive/high-speed",7.682,"https://pinside.com/pinball/archive/high-speed/ratings","331 ratings","Williams, 1986",82,7.875,7.323,6.983,7.967,7.872,1110,1290,1200,152.439024390244,30,"<a href=""https://pinside.com/pinball/archive/high-speed""target = _blank>High Speed</a>"
"Cyclone","Williams Electronic Games, Inc.",1988,"Type Solid state","$2130 - $2470","Normal","Alphanumeric","https://pinside.com/pinball/archive/cyclone",7.674,"https://pinside.com/pinball/archive/cyclone/ratings","306 ratings","Williams, 1988",83,7.831,7.617,7.064,7.857,6.596,2130,2470,2300,348.696179502729,28,"<a href=""https://pinside.com/pinball/archive/cyclone""target = _blank>Cyclone</a>"
"Mustang (Premium/LE)","Stern Pinball, Inc.",2014,"Type Solid state","$6100 - $7100","Normal","Dot Matrix","https://pinside.com/pinball/archive/mustang_le",7.67,"https://pinside.com/pinball/archive/mustang_le/ratings","65 ratings","Stern, 2014",84,7.844,7.558,7.27,7.823,7.855,6100,7100,6600,840.229153405474,2,"<a href=""https://pinside.com/pinball/archive/mustang_le""target = _blank>Mustang (Premium/LE)</a>"
